@id,hasData_format,hasData_size_mb,isDescribedBy_createdBy
frl:6511301,video/mp4,589,personA
frl:6526351,video/mp4,316,personA
frl:6511249,application/pdf,200,personB
frl:6511901,video/mp4,152,personB
frl:6511383,video/mp4,137,personA
frl:6510240,video/mp4,110,personA
frl:6511609,video/mp4,107,personA
frl:6511670,video/mp4,87,personA
frl:6525596,application/pdf,80,personC
frl:6526142,video/mp4,76,personA
frl:6525003,video/mp4,71,personA
frl:6510333,video/mp4,61,personA
frl:6510786,video/mp4,55,personA
